Number;Line;Sample;Date;CODE;No leaves;Diameter;Perpendicular;Height;Thickness 1;Thickness 2;Thickness 3;Thickness 4;Thickness 5
20;3;N;20/09/2024;RNGRC5;17;23,6;20,8;9,45;0,32;0,33;0,36;;
21;3;N;20/09/2024;RNGRB2;14;24,6;24,4;9,55;0,28;0,33;0,36;;
22;3;N;20/09/2024;RNGRA2;12;22,7;18,6;11,05;0,36;0,33;0,32;;
23;4;N;20/09/2024;RNROB2;10;21,6;18,5;8,45;0,2;0,24;0,28;;
24;4;N;20/09/2024;RNROC3;12;18,1;16,4;7,05;0,25;0,3;0,33;;
25;4;N;20/09/2024;RNROA5;8;19,7;13,5;7,55;0,28;0,33;0,31;;
26;4;N;20/09/2024;RNROC5;8;19,6;17,5;8,35;0,35;0,36;0,27;;
27;4;N;20/09/2024;RNROB3;11;19,7;18,3;8,05;0,22;0,3;0,35;;
28;4;N;20/09/2024;RNROA1;5;11,1;10,2;6,5;;;;;
29;4;N;20/09/2024;RNROC1;9;18,6;17,1;7,05;0,34;0,34;0,29;;
30;5;N;20/09/2024;RNGRC1;16;25,6;24,3;11,55;0,25;0,39;0,27;;
31;5;N;20/09/2024;RNGRB3;17;24,8;16,2;13,15;0,35;0,26;0,3;;
32;5;N;20/09/2024;RNGRA5;13;22,6;20,8;8,55;0,24;0,27;0,3;;
33;5;N;20/09/2024;RNGRB1;11;24,3;22,1;10,45;0,39;0,31;0,35;;
34;5;N;20/09/2024;RNGRC3;13;23,4;21,3;10,55;0,3;0,37;0,37;;
35;5;N;20/09/2024;RNGRB4;15;22,5;20,3;11,05;0,3;0,29;0,29;;
36;5;N;20/09/2024;RNGRA4;10;20,1;16,7;10,25;0,26;0,28;0,31;;
37;5;N;20/09/2024;RNGRC2;13;25,2;22,6;9,15;0,34;0,31;0,28;;
38;6;N;20/09/2024;RNROB1;6;17,3;14,2;10,4;0,3;0,32;0,27;;
39;6;N;20/09/2024;RNROA4;11;21,1;18,6;6,55;0,35;0,32;0,32;;
40;6;N;20/09/2024;RNROC2;10;22,7;17,3;7,55;0,34;0,32;0,35;;
41;6;N;20/09/2024;RNROA3;10;21,6;17,7;8,05;0,26;0,33;0,29;;
42;6;N;20/09/2024;RNROB5;12;19,3;14,5;6,85;0,22;0,23;0,24;;
43;6;N;20/09/2024;RNROA2;8;19,1;17,4;7,55;0,31;0,29;0,32;;
44;6;N;20/09/2024;RNROC4;12;21,2;18,3;8,45;0,26;0,3;0,34;;
45;6;N;20/09/2024;RNROB4;11;22,6;17,5;7,45;0,31;0,23;0,28;;
1;1;W;24/09/2024;RWGRB5;16;23,8;22,6;9,85;0,26;0,38;0,24;;
2;1;W;24/09/2024;RWGRA3;15;22,8;21,6;8,55;0,27;0,29;0,28;;
3;1;W;24/09/2024;RWGRC1;16;24,5;21,2;9,65;0,35;0,32;0,31;;
4;1;W;24/09/2024;RWGRA2;13;22,9;22,8;10,15;0,31;0,33;0,32;;
5;1;W;24/09/2024;RWGRB3;12;24,6;19,8;8,45;0,31;0,32;0,28;;
6;1;W;24/09/2024;RWGRA4;11;23,5;22,8;7,15;0,35;0,29;0,29;;
7;1;W;24/09/2024;RWGRC3;16;23,5;21,4;7,55;0,32;0,33;0,29;;
8;1;W;24/09/2024;RWGRA5;14;20,8;20,3;8,45;0,32;0,35;0,3;;
9;2;W;24/09/2024;RWGRC2;15;27,8;23,1;8,65;0,45;0,32;0,34;;
10;2;W;24/09/2024;RWGRB4;15;30,4;27,6;10,15;0,29;0,27;0,34;;
11;2;W;24/09/2024;RWGRC5;15;27,1;23,1;9,95;0,31;0,32;0,29;;
12;2;W;24/09/2024;RWGRB1;16;30,4;26,1;9,95;0,27;0,26;0,3;;
13;2;W;24/09/2024;RWGRC4;15;22,1;23,9;8,55;0,3;0,26;0,27;;
14;2;W;24/09/2024;RWGRB2;9;21,3;20,8;6,65;0,25;0,29;0,32;;
15;2;W;24/09/2024;RWGRA1;13;23,2;24,3;9,65;0,26;0,28;0,28;;
16;3;N;24/09/2024;RNGRA3;14;28,5;25,7;13,55;0,26;0,31;0,31;;
17;3;N;24/09/2024;RNGRB5;16;27,4;28,3;11,35;;;;;
18;3;N;24/09/2024;RNGRC4;19;27,8;25,6;12,25;0,26;0,29;0,25;;
19;3;N;24/09/2024;RNGRA1;13;29,5;26,1;10,65;0,35;0,32;0,25;;
20;3;N;24/09/2024;RNGRC5;14;25,9;26,2;12,15;0,25;0,35;0,29;;
21;3;N;24/09/2024;RNGRB2;17;27,2;25,4;11,35;0,32;0,31;0,28;;
22;3;N;24/09/2024;RNGRA2;12;23,1;21,9;11,05;0,28;0,28;0,32;;
23;4;N;24/09/2024;RNROB2;11;22,3;18,2;9,55;0,28;0,31;0,28;;
24;4;N;24/09/2024;RNROC3;10;20,3;16,5;7,55;0,31;0,29;0,38;;
25;4;N;24/09/2024;RNROA5;8;19,4;15,6;8,55;0,35;0,37;0,38;;
26;4;N;24/09/2024;RNROC5;10;19,4;18,3;9,55;0,42;0,33;0,32;;
27;4;N;24/09/2024;RNROB3;10;19,3;16,4;9,55;0,38;0,32;0,38;;
28;4;N;24/09/2024;RNROA1;6;12,8;10,3;5,05;0,24;0,19;0,22;;
29;4;N;24/09/2024;RNROC1;10;20,3;20,9;9,55;0,36;0,27;0,31;;
30;5;N;24/09/2024;RNGRC1;16;27,6;23,4;11,35;0,34;0,35;0,37;;
31;5;N;24/09/2024;RNGRB3;18;30,6;23,4;12,35;0,34;0,28;0,37;;
32;5;N;24/09/2024;RNGRA5;13;26,3;23,1;12,05;0,35;0,36;0,33;;
33;5;N;24/09/2024;RNGRB1;11;28,7;26,8;12,05;0,33;0,29;0,27;;
34;5;N;24/09/2024;RNGRC3;11;24,1;23,8;11,05;0,35;0,32;0,26;;
35;5;N;24/09/2024;RNGRB4;15;22,9;22,6;12,45;0,26;0,27;0,3;;
36;5;N;24/09/2024;RNGRA4;11;22,6;19,5;13,05;0,28;0,33;0,35;;
37;5;N;24/09/2024;RNGRC2;14;27,5;24,3;12,15;0,33;0,27;0,39;;
38;6;N;24/09/2024;RNROB1;6;16,8;17,3;7,15;0,32;0,31;0,32;;
39;6;N;24/09/2024;RNROA4;13;20,5;19,3;10,65;0,51;0,4;0,44;;
40;6;N;24/09/2024;RNROC2;10;20,7;19,8;9,95;0,38;0,33;0,36;;
41;6;N;24/09/2024;RNROA3;12;24,6;19,8;9,55;0,37;0,38;0,42;;
42;6;N;24/09/2024;RNROB5;10;23,4;17,2;9,85;0,29;0,27;0,26;;
43;6;N;24/09/2024;RNROA2;10;21,3;20,1;8,35;0,28;0,35;0,33;;
44;6;N;24/09/2024;RNROC4;10;23,2;20,3;9,55;0,36;0,35;0,4;;
45;6;N;24/09/2024;RNROB4;12;22,1;20,4;9,05;0,37;0,26;0,29;;
1;1;W;29/09/2024;RWGRB5;13;26,2;21,5;12,55;0,26;0,29;0,25;;
2;1;W;29/09/2024;RWGRA3;12;22,4;20,8;8,35;0,3;0,25;0,25;;
3;1;W;29/09/2024;RWGRC1;13;22,7;19,9;8,65;0,33;0,38;0,32;;
4;1;W;29/09/2024;RWGRA2;11;22,9;20,6;9,55;0,35;0,36;0,3;;
5;1;W;29/09/2024;RWGRB3;9;22,4;19,3;8,55;0,38;0,36;0,45;;
6;1;W;29/09/2024;RWGRA4;8;23,4;16,5;8,15;0,27;0,29;0,24;;
7;1;W;29/09/2024;RWGRC3;12;24,1;17,5;8,05;0,38;0,47;0,28;;
8;1;W;29/09/2024;RWGRA5;11;23,6;20,5;8,55;0,28;0,32;0,33;;
9;2;W;29/09/2024;RWGRC2;10;27,6;25,3;8,15;0,56;0,35;0,44;;
10;2;W;29/09/2024;RWGRB4;15;30,6;30,5;11,05;0,29;0,26;0,3;;
11;2;W;29/09/2024;RWGRC5;13;26,2;24,1;9,45;0,35;0,26;0,3;;
12;2;W;29/09/2024;RWGRB1;10;23,8;27,2;12,15;0,26;0,34;0,33;;
13;2;W;29/09/2024;RWGRC4;11;24,1;21,8;8,35;0,41;0,46;0,43;;
14;2;W;29/09/2024;RWGRB2;7;19,9;19,8;6,45;0,35;0,37;0,36;;
15;2;W;29/09/2024;RWGRA1;12;26,8;24,3;9,35;0,29;0,3;0,28;;
16;3;N;29/09/2024;RNGRA3;13;27,8;28,5;13,05;0,38;0,4;0,51;;
17;3;N;29/09/2024;RNGRB5;12;32,3;26,5;13,95;0,24;0,25;0,34;;
18;3;N;29/09/2024;RNGRC4;13;28,4;23,2;10,25;0,52;0,48;0,36;;
19;3;N;29/09/2024;RNGRA1;10;25,2;29,1;14,35;;;;;
20;3;N;29/09/2024;RNGRC5;10;27,5;29,4;12,05;0,42;0,32;0,46;;
21;3;N;29/09/2024;RNGRB2;11;30,4;29,3;11,55;0,33;0,28;0,25;;
22;3;N;29/09/2024;RNGRA2;10;24,2;20,6;12,55;0,28;0,4;0,38;;
23;4;N;29/09/2024;RNROB2;10;23,2;19,6;10,55;0,41;0,4;0,28;;
24;4;N;29/09/2024;RNROC3;6;21,5;14,6;7,95;0,4;0,42;0,3;;
25;4;N;29/09/2024;RNROA5;9;25,4;19,2;10,35;0,28;0,32;0,27;;
26;4;N;29/09/2024;RNROC5;6;23,2;21,4;8,35;0,35;0,36;0,35;;
27;4;N;29/09/2024;RNROB3;8;24,5;21,7;10,35;0,35;0,29;0,31;;
28;4;N;29/09/2024;RNROA1;6;13,5;10,3;8,95;0,25;0,31;0,28;;
29;4;N;29/09/2024;RNROC1;6;25,2;19,5;9,25;0,35;0,32;0,38;;
30;5;N;29/09/2024;RNGRC1;11;30,3;27,2;10,15;0,26;0,45;0,28;;
31;5;N;29/09/2024;RNGRB3;9;30,7;25,2;12,55;0,25;0,22;0,35;;
32;5;N;29/09/2024;RNGRA5;6;19,2;14,1;13,45;0,27;0,22;0,22;;
33;5;N;29/09/2024;RNGRB1;8;27,2;21,4;11,35;0,27;0,23;0,31;;
34;5;N;29/09/2024;RNGRC3;10;32,5;23,2;11,55;0,26;0,3;0,21;;
35;5;N;29/09/2024;RNGRB4;9;30,3;21,4;11,35;0,27;0,34;0,22;;
36;5;N;29/09/2024;RNGRA4;10;30,3;25,6;13,25;0,27;0,27;0,31;;
37;5;N;29/09/2024;RNGRC2;10;30,6;29,2;8,15;0,31;0,27;0,32;;
38;6;N;29/09/2024;RNROB1;6;22,3;14,5;8,95;0,42;0,24;0,3;;
39;6;N;29/09/2024;RNROA4;9;20,5;22,1;10,05;0,26;0,34;0,52;;
40;6;N;29/09/2024;RNROC2;7;24,1;20,2;7,35;0,32;0,33;0,35;;
41;6;N;29/09/2024;RNROA3;10;25,3;23,8;7,25;0,25;0,2;0,36;;
42;6;N;29/09/2024;RNROB5;6;25,1;20,8;11,25;;;;;
43;6;N;29/09/2024;RNROA2;9;22,3;20,2;7,65;0,27;0,26;0,31;;
44;6;N;29/09/2024;RNROC4;9;27,3;25,2;11,35;0,4;0,37;0,31;;
45;6;N;29/09/2024;RNROB4;9;19,5;23,4;8,55;0,4;0,47;0,35;;
1;1;W;03/10/2024;RWGRB5;16;28,5;26,4;11,55;0,22;0,22;0,24;0,23;0,24
2;1;W;03/10/2024;RWGRA3;14;23,5;24,2;11,15;0,26;0,31;0,28;0,34;
3;1;W;03/10/2024;RWGRC1;16;23,6;21,7;8,55;0,32;0,4;0,41;0,33;0,3
4;1;W;03/10/2024;RWGRA2;15;24,8;23,6;11,55;0,28;0,3;0,3;0,25;0,32
5;1;W;03/10/2024;RWGRB3;12;23,5;20,4;9,05;0,25;0,31;0,31;0,31;
6;1;W;03/10/2024;RWGRA4;10;24,5;18,4;8,85;0,3;0,35;0,3;0,33;
7;1;W;03/10/2024;RWGRC3;16;23,6;23,8;8,55;0,38;0,35;0,3;0,31;
8;1;W;03/10/2024;RWGRA5;15;24,8;26,2;10,25;0,23;0,27;0,31;0,27;
9;2;W;03/10/2024;RWGRC2;12;28,6;27,4;13,75;0,34;0,27;0,31;0,32;
10;2;W;03/10/2024;RWGRB4;15;33,1;29,6;13,25;0,31;0,4;0,34;0,29;
11;2;W;03/10/2024;RWGRC5;16;27,8;25,6;15,15;0,33;0,34;0,35;0,32;
12;2;W;03/10/2024;RWGRB1;14;30,4;24,8;11,85;0,23;0,31;0,27;0,31;
13;2;W;03/10/2024;RWGRC4;11;27,6;26,8;7,15;0,32;0,28;0,29;0,3;
14;2;W;03/10/2024;RWGRB2;10;22,4;21,5;7,05;0,27;0,33;0,25;0,22;
15;2;W;03/10/2024;RWGRA1;15;26,7;27,5;8,35;0,26;0,27;0,31;0,31;
16;3;N;03/10/2024;RNGRA3;16;31,4;30,6;11,45;0,24;0,28;0,26;0,26;0,28
17;3;N;03/10/2024;RNGRB5;15;31,7;33,1;13,95;0,32;0,18;0,22;0,25;
18;3;N;03/10/2024;RNGRC4;16;27,6;26,2;12,15;0,3;0,31;0,29;0,26;
19;3;N;03/10/2024;RNGRA1;15;29,1;20,6;11,25;0,31;0,29;0,22;0,24;
20;3;N;03/10/2024;RNGRC5;14;31,2;29,3;11,55;0,25;0,23;0,33;0,26;
21;3;N;03/10/2024;RNGRB2;15;30,5;29,8;12,35;0,22;0,33;0,32;0,26;0,26
22;3;N;03/10/2024;RNGRA2;13;30,1;26,6;12,05;0,25;0,31;0,27;0,32;
23;4;N;03/10/2024;RNROB2;11;24,7;21,6;11,05;0,43;0,39;0,23;0,35;
24;4;N;03/10/2024;RNROC3;7;21,4;15,1;9,85;0,3;0,34;0,39;0,35;
25;4;N;03/10/2024;RNROA5;8;24,2;19,8;9,55;0,44;0,38;0,32;0,33;
26;4;N;03/10/2024;RNROC5;7;23,4;20,6;9,35;0,33;0,39;0,41;0,26;
27;4;N;03/10/2024;RNROB3;10;26,4;17,5;9,25;0,26;0,31;0,26;0,29;
28;4;N;03/10/2024;RNROA1;8;16,8;14,5;7,35;0,34;0,28;0,3;0,24;
29;4;N;03/10/2024;RNROC1;7;27,1;18,8;7,15;0,5;0,28;0,45;0,51;
30;5;N;03/10/2024;RNGRC1;15;34,5;29,6;11,15;0,27;0,32;0,31;0,3;
31;5;N;03/10/2024;RNGRB3;11;32,4;31,7;15,35;0,31;0,28;0,24;0,28;
32;5;N;03/10/2024;RNGRA5;8;29,1;19,2;11,85;0,25;0,29;0,29;0,29;
33;5;N;03/10/2024;RNGRB1;10;26,8;29,2;12,15;0,26;0,3;0,29;0,25;
34;5;N;03/10/2024;RNGRC3;13;30,1;24,5;11,35;0,29;0,31;0,33;0,29;
35;5;N;03/10/2024;RNGRB4;12;29,2;22,5;11,35;0,24;0,22;0,33;0,28;
36;5;N;03/10/2024;RNGRA4;13;25,6;33,4;12,95;0,25;0,26;0,25;0,26;
37;5;N;03/10/2024;RNGRC2;12;30,2;26,6;9,15;0,28;0,33;0,28;0,28;
38;6;N;03/10/2024;RNROB1;7;16,1;22,6;10,35;0,42;0,38;0,43;0,35;
39;6;N;03/10/2024;RNROA4;10;21,7;19,2;10,35;0,42;0,33;0,3;0,36;
40;6;N;03/10/2024;RNROC2;9;22,5;19,8;9,05;0,4;0,39;0,36;0,28;
41;6;N;03/10/2024;RNROA3;11;26,8;24,5;10,15;0,4;0,32;0,27;0,31;
42;6;N;03/10/2024;RNROB5;7;30,1;22,6;11,85;0,32;0,26;0,33;0,37;
43;6;N;03/10/2024;RNROA2;11;22,8;20,5;10,35;0,4;0,35;0,39;0,32;
44;6;N;03/10/2024;RNROC4;10;30,5;26,2;11,55;0,38;0,32;0,33;0,37;
45;6;N;03/10/2024;RNROB4;11;20,6;23,1;9,95;0,43;0,38;0,37;0,35;
