,Date,Number,Line,Sample,No leaves,Diameter,Perpendicular,Height,Average Leaf Thickness
194,2024-09-20,15,2,RWGRA1,12,22.4,20.3,9.95,0.3266666666666666
195,2024-09-20,16,3,RNGRA3,14,21.5,20.4,11.9,0.4166666666666667
196,2024-09-20,17,3,RNGRB5,16,26.8,23.4,8.95,0.3966666666666666
197,2024-09-20,18,3,RNGRC4,15,26.4,23.4,10.15,0.3933333333333333
198,2024-09-20,19,3,RNGRA1,11,23.1,22.8,9.35,0.3566666666666666
199,2024-09-20,20,3,RNGRC5,17,23.6,20.8,9.45,0.3366666666666666
200,2024-09-20,21,3,RNGRB2,14,24.6,24.4,9.55,0.3233333333333333
201,2024-09-20,22,3,RNGRA2,12,22.7,18.6,11.05,0.3366666666666666
202,2024-09-20,23,4,RNROB2,10,21.6,18.5,8.45,0.24
203,2024-09-20,24,4,RNROC3,12,18.1,16.4,7.05,0.2933333333333334
204,2024-09-20,25,4,RNROA5,8,19.7,13.5,7.55,0.3066666666666667
205,2024-09-20,26,4,RNROC5,8,19.6,17.5,8.35,0.3266666666666666
206,2024-09-20,27,4,RNROB3,11,19.7,18.3,8.05,0.29
207,2024-09-20,28,4,RNROA1,5,11.1,10.2,6.5,0.0
208,2024-09-20,29,4,RNROC1,9,18.6,17.1,7.05,0.3233333333333333
209,2024-09-20,30,5,RNGRC1,16,25.6,24.3,11.55,0.3033333333333333
210,2024-09-20,31,5,RNGRB3,17,24.8,16.2,13.15,0.3033333333333333
211,2024-09-20,32,5,RNGRA5,13,22.6,20.8,8.55,0.27
212,2024-09-20,33,5,RNGRB1,11,24.3,22.1,10.45,0.3499999999999999
213,2024-09-20,34,5,RNGRC3,13,23.4,21.3,10.55,0.3466666666666667
214,2024-09-20,35,5,RNGRB4,15,22.5,20.3,11.05,0.2933333333333333
215,2024-09-20,36,5,RNGRA4,10,20.1,16.7,10.25,0.2833333333333334
216,2024-09-20,37,5,RNGRC2,13,25.2,22.6,9.15,0.31
217,2024-09-20,38,6,RNROB1,6,17.3,14.2,10.4,0.2966666666666667
218,2024-09-20,39,6,RNROA4,11,21.1,18.6,6.55,0.33
219,2024-09-20,40,6,RNROC2,10,22.7,17.3,7.55,0.3366666666666666
220,2024-09-20,41,6,RNROA3,10,21.6,17.7,8.05,0.2933333333333334
221,2024-09-20,42,6,RNROB5,12,19.3,14.5,6.85,0.2299999999999999
222,2024-09-20,43,6,RNROA2,8,19.1,17.4,7.55,0.3066666666666666
223,2024-09-20,44,6,RNROC4,12,21.2,18.3,8.45,0.3
224,2024-09-20,45,6,RNROB4,11,22.6,17.5,7.45,0.2733333333333334
225,2024-09-24,1,1,RWGRB5,16,23.8,22.6,9.85,0.2933333333333333
226,2024-09-24,2,1,RWGRA3,15,22.8,21.6,8.55,0.28
227,2024-09-24,3,1,RWGRC1,16,24.5,21.2,9.65,0.3266666666666666
228,2024-09-24,4,1,RWGRA2,13,22.9,22.8,10.15,0.32
229,2024-09-24,5,1,RWGRB3,12,24.6,19.8,8.45,0.3033333333333333
230,2024-09-24,6,1,RWGRA4,11,23.5,22.8,7.15,0.31
231,2024-09-24,7,1,RWGRC3,16,23.5,21.4,7.55,0.3133333333333333
232,2024-09-24,8,1,RWGRA5,14,20.8,20.3,8.45,0.3233333333333333
233,2024-09-24,9,2,RWGRC2,15,27.8,23.1,8.65,0.37
234,2024-09-24,10,2,RWGRB4,15,30.4,27.6,10.15,0.3
235,2024-09-24,11,2,RWGRC5,15,27.1,23.1,9.95,0.3066666666666666
236,2024-09-24,12,2,RWGRB1,16,30.4,26.1,9.95,0.2766666666666666
237,2024-09-24,13,2,RWGRC4,15,22.1,23.9,8.55,0.2766666666666666
238,2024-09-24,14,2,RWGRB2,9,21.3,20.8,6.65,0.2866666666666667
239,2024-09-24,15,2,RWGRA1,13,23.2,24.3,9.65,0.2733333333333334
240,2024-09-24,16,3,RNGRA3,14,28.5,25.7,13.55,0.2933333333333334
241,2024-09-24,17,3,RNGRB5,16,27.4,28.3,11.35,0.0
242,2024-09-24,18,3,RNGRC4,19,27.8,25.6,12.25,0.2666666666666666
243,2024-09-24,19,3,RNGRA1,13,29.5,26.1,10.65,0.3066666666666666
244,2024-09-24,20,3,RNGRC5,14,25.9,26.2,12.15,0.2966666666666666
245,2024-09-24,21,3,RNGRB2,17,27.2,25.4,11.35,0.3033333333333333
246,2024-09-24,22,3,RNGRA2,12,23.1,21.9,11.05,0.2933333333333334
247,2024-09-24,23,4,RNROB2,11,22.3,18.2,9.55,0.29
248,2024-09-24,24,4,RNROC3,10,20.3,16.5,7.55,0.3266666666666666
249,2024-09-24,25,4,RNROA5,8,19.4,15.6,8.55,0.3666666666666667
250,2024-09-24,26,4,RNROC5,10,19.4,18.3,9.55,0.3566666666666667
251,2024-09-24,27,4,RNROB3,10,19.3,16.4,9.55,0.36
252,2024-09-24,28,4,RNROA1,6,12.8,10.3,5.05,0.2166666666666666
253,2024-09-24,29,4,RNROC1,10,20.3,20.9,9.55,0.3133333333333333
254,2024-09-24,30,5,RNGRC1,16,27.6,23.4,11.35,0.3533333333333333
255,2024-09-24,31,5,RNGRB3,18,30.6,23.4,12.35,0.33
256,2024-09-24,32,5,RNGRA5,13,26.3,23.1,12.05,0.3466666666666667
257,2024-09-24,33,5,RNGRB1,11,28.7,26.8,12.05,0.2966666666666667
258,2024-09-24,34,5,RNGRC3,11,24.1,23.8,11.05,0.31
259,2024-09-24,35,5,RNGRB4,15,22.9,22.6,12.45,0.2766666666666666
260,2024-09-24,36,5,RNGRA4,11,22.6,19.5,13.05,0.32
261,2024-09-24,37,5,RNGRC2,14,27.5,24.3,12.15,0.33
262,2024-09-24,38,6,RNROB1,6,16.8,17.3,7.15,0.3166666666666666
263,2024-09-24,39,6,RNROA4,13,20.5,19.3,10.65,0.45
264,2024-09-24,40,6,RNROC2,10,20.7,19.8,9.95,0.3566666666666666
265,2024-09-24,41,6,RNROA3,12,24.6,19.8,9.55,0.3899999999999999
266,2024-09-24,42,6,RNROB5,10,23.4,17.2,9.85,0.2733333333333334
267,2024-09-24,43,6,RNROA2,10,21.3,20.1,8.35,0.32
268,2024-09-24,44,6,RNROC4,10,23.2,20.3,9.55,0.3699999999999999
269,2024-09-24,45,6,RNROB4,12,22.1,20.4,9.05,0.3066666666666666
270,2024-09-29,1,1,RWGRB5,13,26.2,21.5,12.55,0.2666666666666666
271,2024-09-29,2,1,RWGRA3,12,22.4,20.8,8.35,0.2666666666666666
272,2024-09-29,3,1,RWGRC1,13,22.7,19.9,8.65,0.3433333333333333
273,2024-09-29,4,1,RWGRA2,11,22.9,20.6,9.55,0.3366666666666666
274,2024-09-29,5,1,RWGRB3,9,22.4,19.3,8.55,0.3966666666666666
275,2024-09-29,6,1,RWGRA4,8,23.4,16.5,8.15,0.2666666666666666
276,2024-09-29,7,1,RWGRC3,12,24.1,17.5,8.05,0.3766666666666666
277,2024-09-29,8,1,RWGRA5,11,23.6,20.5,8.55,0.31
278,2024-09-29,9,2,RWGRC2,10,27.6,25.3,8.15,0.45
279,2024-09-29,10,2,RWGRB4,15,30.6,30.5,11.05,0.2833333333333334
280,2024-09-29,11,2,RWGRC5,13,26.2,24.1,9.45,0.3033333333333333
281,2024-09-29,12,2,RWGRB1,10,23.8,27.2,12.15,0.31
282,2024-09-29,13,2,RWGRC4,11,24.1,21.8,8.35,0.4333333333333333
283,2024-09-29,14,2,RWGRB2,7,19.9,19.8,6.45,0.36
284,2024-09-29,15,2,RWGRA1,12,26.8,24.3,9.35,0.29
285,2024-09-29,16,3,RNGRA3,13,27.8,28.5,13.05,0.43
286,2024-09-29,17,3,RNGRB5,12,32.3,26.5,13.95,0.2766666666666666
287,2024-09-29,18,3,RNGRC4,13,28.4,23.2,10.25,0.4533333333333333
288,2024-09-29,19,3,RNGRA1,10,25.2,29.1,14.35,0.0
289,2024-09-29,20,3,RNGRC5,10,27.5,29.4,12.05,0.3999999999999999
290,2024-09-29,21,3,RNGRB2,11,30.4,29.3,11.55,0.2866666666666667
291,2024-09-29,22,3,RNGRA2,10,24.2,20.6,12.55,0.3533333333333333
292,2024-09-29,23,4,RNROB2,10,23.2,19.6,10.55,0.3633333333333333
293,2024-09-29,24,4,RNROC3,6,21.5,14.6,7.95,0.3733333333333333
294,2024-09-29,25,4,RNROA5,9,25.4,19.2,10.35,0.29
295,2024-09-29,26,4,RNROC5,6,23.2,21.4,8.35,0.3533333333333333
296,2024-09-29,27,4,RNROB3,8,24.5,21.7,10.35,0.3166666666666666
297,2024-09-29,28,4,RNROA1,6,13.5,10.3,8.95,0.28
298,2024-09-29,29,4,RNROC1,6,25.2,19.5,9.25,0.3499999999999999
299,2024-09-29,30,5,RNGRC1,11,30.3,27.2,10.15,0.33
300,2024-09-29,31,5,RNGRB3,9,30.7,25.2,12.55,0.2733333333333333
301,2024-09-29,32,5,RNGRA5,6,19.2,14.1,13.45,0.2366666666666666
302,2024-09-29,33,5,RNGRB1,8,27.2,21.4,11.35,0.27
303,2024-09-29,34,5,RNGRC3,10,32.5,23.2,11.55,0.2566666666666666
304,2024-09-29,35,5,RNGRB4,9,30.3,21.4,11.35,0.2766666666666666
305,2024-09-29,36,5,RNGRA4,10,30.3,25.6,13.25,0.2833333333333334
306,2024-09-29,37,5,RNGRC2,10,30.6,29.2,8.15,0.3
307,2024-09-29,38,6,RNROB1,6,22.3,14.5,8.95,0.32
308,2024-09-29,39,6,RNROA4,9,20.5,22.1,10.05,0.3733333333333333
309,2024-09-29,40,6,RNROC2,7,24.1,20.2,7.35,0.3333333333333333
310,2024-09-29,41,6,RNROA3,10,25.3,23.8,7.25,0.27
311,2024-09-29,42,6,RNROB5,6,25.1,20.8,11.25,0.0
312,2024-09-29,43,6,RNROA2,9,22.3,20.2,7.65,0.28
313,2024-09-29,44,6,RNROC4,9,27.3,25.2,11.35,0.36
314,2024-09-29,45,6,RNROB4,9,19.5,23.4,8.55,0.4066666666666667
315,2024-10-03,1,1,RWGRB5,16,28.5,26.4,11.55,0.2299999999999999
316,2024-10-03,2,1,RWGRA3,14,23.5,24.2,11.15,0.2975
317,2024-10-03,3,1,RWGRC1,16,23.6,21.7,8.55,0.352
318,2024-10-03,4,1,RWGRA2,15,24.8,23.6,11.55,0.29
319,2024-10-03,5,1,RWGRB3,12,23.5,20.4,9.05,0.295
320,2024-10-03,6,1,RWGRA4,10,24.5,18.4,8.85,0.32
321,2024-10-03,7,1,RWGRC3,16,23.6,23.8,8.55,0.335
322,2024-10-03,8,1,RWGRA5,15,24.8,26.2,10.25,0.27
323,2024-10-03,9,2,RWGRC2,12,28.6,27.4,13.75,0.31
324,2024-10-03,10,2,RWGRB4,15,33.1,29.6,13.25,0.335
325,2024-10-03,11,2,RWGRC5,16,27.8,25.6,15.15,0.335
326,2024-10-03,12,2,RWGRB1,14,30.4,24.8,11.85,0.28
327,2024-10-03,13,2,RWGRC4,11,27.6,26.8,7.15,0.2975
328,2024-10-03,14,2,RWGRB2,10,22.4,21.5,7.05,0.2675
329,2024-10-03,15,2,RWGRA1,15,26.7,27.5,8.35,0.2875
330,2024-10-03,16,3,RNGRA3,16,31.4,30.6,11.45,0.264
331,2024-10-03,17,3,RNGRB5,15,31.7,33.1,13.95,0.2425
332,2024-10-03,18,3,RNGRC4,16,27.6,26.2,12.15,0.29
333,2024-10-03,19,3,RNGRA1,15,29.1,20.6,11.25,0.265
334,2024-10-03,20,3,RNGRC5,14,31.2,29.3,11.55,0.2675
335,2024-10-03,21,3,RNGRB2,15,30.5,29.8,12.35,0.278
336,2024-10-03,22,3,RNGRA2,13,30.1,26.6,12.05,0.2875
337,2024-10-03,23,4,RNROB2,11,24.7,21.6,11.05,0.35
338,2024-10-03,24,4,RNROC3,7,21.4,15.1,9.85,0.345
339,2024-10-03,25,4,RNROA5,8,24.2,19.8,9.55,0.3675
340,2024-10-03,26,4,RNROC5,7,23.4,20.6,9.35,0.3475
341,2024-10-03,27,4,RNROB3,10,26.4,17.5,9.25,0.28
342,2024-10-03,28,4,RNROA1,8,16.8,14.5,7.35,0.29
343,2024-10-03,29,4,RNROC1,7,27.1,18.8,7.15,0.435
344,2024-10-03,30,5,RNGRC1,15,34.5,29.6,11.15,0.3
345,2024-10-03,31,5,RNGRB3,11,32.4,31.7,15.35,0.2775
346,2024-10-03,32,5,RNGRA5,8,29.1,19.2,11.85,0.28
347,2024-10-03,33,5,RNGRB1,10,26.8,29.2,12.15,0.275
348,2024-10-03,34,5,RNGRC3,13,30.1,24.5,11.35,0.305
349,2024-10-03,35,5,RNGRB4,12,29.2,22.5,11.35,0.2675
350,2024-10-03,36,5,RNGRA4,13,25.6,33.4,12.95,0.255
351,2024-10-03,37,5,RNGRC2,12,30.2,26.6,9.15,0.2925
352,2024-10-03,38,6,RNROB1,7,16.1,22.6,10.35,0.395
353,2024-10-03,39,6,RNROA4,10,21.7,19.2,10.35,0.3525
354,2024-10-03,40,6,RNROC2,9,22.5,19.8,9.05,0.3575
355,2024-10-03,41,6,RNROA3,11,26.8,24.5,10.15,0.325
356,2024-10-03,42,6,RNROB5,7,30.1,22.6,11.85,0.32
357,2024-10-03,43,6,RNROA2,11,22.8,20.5,10.35,0.365
358,2024-10-03,44,6,RNROC4,10,30.5,26.2,11.55,0.35
359,2024-10-03,45,6,RNROB4,11,20.6,23.1,9.95,0.3825
